bitstring,phase_int,phase_frac,counts,n_count
10010100,148,0.57812500,22,8
00010000,16,0.06250000,21,8
00010011,19,0.07421875,15,8
11010000,208,0.81250000,15,8
10110001,177,0.69140625,15,8
01010000,80,0.31250000,15,8
00100010,34,0.13281250,14,8
01111100,124,0.48437500,14,8
00000000,0,0.00000000,14,8
11010001,209,0.81640625,14,8
01010001,81,0.31640625,14,8
00110001,49,0.19140625,14,8
10100000,160,0.62500000,14,8
10010011,147,0.57421875,14,8
10010000,144,0.56250000,13,8
01010100,84,0.32812500,13,8
11111100,252,0.98437500,13,8
10010001,145,0.56640625,13,8
01111001,121,0.47265625,13,8
01110100,116,0.45312500,13,8
11010100,212,0.82812500,12,8
00101011,43,0.16796875,12,8
01110010,114,0.44531250,12,8
01001100,76,0.29687500,12,8
10000100,132,0.51562500,12,8
11111000,248,0.96875000,12,8
00000010,2,0.00781250,12,8
10100001,161,0.62890625,12,8
11010011,211,0.82421875,12,8
11110000,240,0.93750000,12,8
10000110,134,0.52343750,12,8
10001101,141,0.55078125,12,8
11110100,244,0.95312500,12,8
10110000,176,0.68750000,12,8
00101111,47,0.18359375,12,8
11011100,220,0.85937500,12,8
01111110,126,0.49218750,12,8
00101001,41,0.16015625,12,8
01010011,83,0.32421875,12,8
01100001,97,0.37890625,11,8
10101010,170,0.66406250,11,8
00000001,1,0.00390625,11,8
10000101,133,0.51953125,11,8
10110100,180,0.70312500,11,8
10000000,128,0.50000000,11,8
10001001,137,0.53515625,11,8
11101000,232,0.90625000,11,8
01000100,68,0.26562500,11,8
00011010,26,0.10156250,11,8
00110011,51,0.19921875,11,8
00100100,36,0.14062500,11,8
10000011,131,0.51171875,11,8
11000001,193,0.75390625,11,8
00111110,62,0.24218750,11,8
01010010,82,0.32031250,11,8
11100001,225,0.87890625,10,8
00010100,20,0.07812500,10,8
11110101,245,0.95703125,10,8
11111011,251,0.98046875,10,8
11101100,236,0.92187500,10,8
11000000,192,0.75000000,10,8
11100010,226,0.88281250,10,8
10111101,189,0.73828125,10,8
00100000,32,0.12500000,10,8
10111011,187,0.73046875,10,8
00110000,48,0.18750000,10,8
10011101,157,0.61328125,10,8
01000000,64,0.25000000,10,8
11110001,241,0.94140625,10,8
10011111,159,0.62109375,10,8
00011101,29,0.11328125,10,8
00111101,61,0.23828125,10,8
01100100,100,0.39062500,10,8
10111110,190,0.74218750,10,8
11011010,218,0.85156250,10,8
11010010,210,0.82031250,10,8
00111011,59,0.23046875,10,8
00001110,14,0.05468750,9,8
00101100,44,0.17187500,9,8
10001100,140,0.54687500,9,8
11001111,207,0.80859375,9,8
11111010,250,0.97656250,9,8
10010010,146,0.57031250,9,8
00100001,33,0.12890625,9,8
00110111,55,0.21484375,9,8
10111100,188,0.73437500,9,8
11100101,229,0.89453125,9,8
10001110,142,0.55468750,9,8
11100100,228,0.89062500,9,8
10110010,178,0.69531250,9,8
11011000,216,0.84375000,9,8
10100011,163,0.63671875,9,8
10011100,156,0.60937500,9,8
